referentiel,cle,valeur
rbx_vdg_action,0,rien
rbx_vdg_action,1,aut
rbx_vdg_action,2,bib & aut
type_notice_codes,a,texte
type_notice_codes,b,manuscrit
type_notice_codes,c,partition
type_notice_codes,d,partition manuscrite
type_notice_codes,e,carte
type_notice_codes,f,carte manuscrite
type_notice_codes,g,video
type_notice_codes,i,son - non musical
type_notice_codes,j,son – musique
type_notice_codes,k,"image, dessin"
type_notice_codes,l,ressource électronique
type_notice_codes,m,multimedia
type_notice_codes,r,objet
niveau_bib_codes,a,analytique
niveau_bib_codes,i,ressource intégratrice
niveau_bib_codes,m,monographie
niveau_bib_codes,s,périodique
niveau_bib_codes,c,collection
