B200a_,B200e_,B200h_,B200i_,B410t_,B410v_,B461t_,B461v_,bib_record_id
False,False,False,False,False,False,False,False,1
True,False,False,False,False,False,False,False,102727
True,False,False,False,False,False,False,True,1
True,False,False,False,False,False,True,False,1429
True,False,False,False,False,False,True,True,3760
True,False,False,False,False,True,False,False,35
True,False,False,False,True,False,False,False,25315
True,False,False,False,True,False,True,False,738
True,False,False,False,True,False,True,True,1897
True,False,False,False,True,True,False,False,14635
True,False,False,False,True,True,True,False,372
True,False,False,False,True,True,True,True,564
True,False,False,True,False,False,False,False,285
True,False,False,True,False,False,True,False,33
True,False,False,True,False,False,True,True,17
True,False,False,True,True,False,False,False,77
True,False,False,True,True,False,True,False,18
True,False,False,True,True,False,True,True,2
True,False,False,True,True,True,False,False,19
True,False,False,True,True,True,True,False,14
True,False,True,False,False,False,False,False,4627
True,False,True,False,False,False,True,False,19
True,False,True,False,False,False,True,True,1446
True,False,True,False,False,True,False,False,1
True,False,True,False,True,False,False,False,1066
True,False,True,False,True,False,True,False,6
True,False,True,False,True,False,True,True,1292
True,False,True,False,True,True,False,False,583
True,False,True,False,True,True,True,False,1
True,False,True,False,True,True,True,True,91
True,False,True,True,False,False,False,False,4014
True,False,True,True,False,False,True,False,57
True,False,True,True,False,False,True,True,1132
True,False,True,True,True,False,False,False,986
True,False,True,True,True,False,True,False,13
True,False,True,True,True,False,True,True,436
True,False,True,True,True,True,False,False,475
True,False,True,True,True,True,True,False,1
True,False,True,True,True,True,True,True,38
True,True,False,False,False,False,False,False,43437
True,True,False,False,False,False,True,False,215
True,True,False,False,False,False,True,True,227
True,True,False,False,False,True,False,False,13
True,True,False,False,True,False,False,False,13027
True,True,False,False,True,False,True,False,74
True,True,False,False,True,False,True,True,132
True,True,False,False,True,True,False,False,5718
True,True,False,False,True,True,True,False,65
True,True,False,False,True,True,True,True,131
True,True,False,True,False,False,False,False,177
True,True,False,True,False,False,True,False,12
True,True,False,True,False,False,True,True,2
True,True,False,True,True,False,False,False,12
True,True,False,True,True,False,True,False,3
True,True,False,True,True,False,True,True,2
True,True,False,True,True,True,False,False,6
True,True,False,True,True,True,True,False,4
True,True,True,False,False,False,False,False,1761
True,True,True,False,False,False,True,False,7
True,True,True,False,False,False,True,True,376
True,True,True,False,True,False,False,False,243
True,True,True,False,True,False,True,False,2
True,True,True,False,True,False,True,True,278
True,True,True,False,True,True,False,False,109
True,True,True,False,True,True,True,False,1
True,True,True,False,True,True,True,True,36
True,True,True,True,False,False,False,False,1645
True,True,True,True,False,False,True,False,7
True,True,True,True,False,False,True,True,44
True,True,True,True,True,False,False,False,255
True,True,True,True,True,False,True,True,62
True,True,True,True,True,True,False,False,134
True,True,True,True,True,True,True,True,13
